Name,Position,Appearances,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
Dango Ouattara,Forward,30,0,0,45,0%,0,10,22,33,14,0,0,0,0,0,0,0,0,0,2,448,14.9,1,36,0%,0,0,3,0,15,4,1,1,0,0,0,0,0,0,30,7,23%,2,0,0,0,0,0,0,0,0
David Ozoh,Midfielder,9,0,0,10,60%,0,0,0,2,1,0,8,14,14,1,3,5,0,0,0,51,5.7,0,0,0%,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Cole Palmer,Midfielder,34,0,0,23,52%,0,33,20,11,3,0,105,102,128,52,1,4,0,0,11,1307,38.4,17,81,20%,27,69,7,0,24,6,22,2,3,17,1,0.7,9,0,109,46,42%,7,0,0,0,0,0,0,0,0
Thomas Partey,Midfielder,14,0,0,14,79%,0,3,11,8,2,0,56,36,33,9,7,8,0,0,0,621,44.4,0,2,100%,3,25,3,0,10,0,0,0,0,0,0,0,0,0,8,2,25%,0,0,0,0,0,0,0,0,0
Pedro Neto,Forward,20,0,0,7,0%,0,8,5,2,0,0,0,0,0,0,0,0,0,0,9,589,29.5,7,115,0%,0,0,4,0,15,2,2,0,0,2,3,0.1,0,0,36,12,33%,2,0,0,0,0,0,0,0,0
Facundo Pellistri,Midfielder,9,0,0,5,60%,0,1,1,5,1,0,11,22,18,5,6,4,0,0,1,74,8.2,0,4,0%,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,2,50%,0,0,0,0,0,0,0,0,0
Ivan Perisic,Midfielder,5,0,0,3,67%,0,1,2,1,1,0,3,13,7,4,5,0,0,0,1,61,12.2,2,13,23%,0,2,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0%,0,0,0,0,0,0,0,0,0
Djordje Petrovic,Goalkeeper,23,5,38,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,707,30.7,0,0,0%,0,93,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,75,0,8,18,2,14,97,149
Jordan Pickford,Goalkeeper,38,13,51,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1429,37.6,0,0,0%,0,400,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,0,121,0,15,26,6,26,141,273
Ethan Pinnock,Defender,29,5,46,35,66%,0,3,43,167,80,0,131,165,73,6,114,51,0,1,0,1398,48.2,1,7,0%,0,71,1,0,4,0,2,2,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
